idx,src,dst,time,label,ext_roll
0,259,1198,0.0,4,0
1,259,1229,0.00019675925,4,0
2,259,1241,0.00050925923,4,0
3,259,1128,0.0008217593,4,0
4,259,1116,0.0015393519,4,0
5,259,1051,0.0019907407,4,0
6,259,1715,0.0019907407,4,0
7,259,1231,0.0022569445,3,0
8,259,1871,0.0026273148,4,0
9,259,1060,0.0032175926,4,0
10,259,1143,0.0042939815,4,0
11,259,1348,0.0047453702,3,0
12,259,2017,0.006412037,3,0
13,259,1119,0.0078240745,4,0
14,259,1300,0.008969908,5,0
15,259,1153,0.008969908,4,0
16,851,1630,0.040023148,2,0
17,851,1639,0.041990742,3,0
18,851,1227,0.041990742,3,0
19,851,1238,0.04236111,5,0
20,851,1416,0.042662036,4,0
21,851,1487,0.042662036,4,0
22,851,1233,0.043055557,4,0
23,851,1090,0.04341435,4,0
24,851,1064,0.044618055,4,0
25,851,1660,0.045,3,0
26,712,1163,0.057546295,5,0
27,712,1983,0.057546295,4,0
28,712,1453,0.05832176,2,0
29,712,993,0.058333334,4,0
30,712,1674,0.058333334,5,0
31,712,1360,0.058333334,4,0
32,712,1566,0.058657408,4,0
33,712,1328,0.058657408,5,0
34,712,1009,0.059097223,5,0
35,712,1040,0.059097223,5,0
36,712,1496,0.05949074,5,0
37,712,1912,0.05949074,4,0
38,712,1022,0.05949074,4,0
39,712,1039,0.05949074,5,0
40,712,1124,0.06008102,5,0
41,712,1116,0.06008102,5,0
42,712,1115,0.06008102,5,0
43,712,985,0.060474537,1,0
44,712,1345,0.060474537,4,0
45,712,1441,0.060474537,3,0
46,712,1177,0.060474537,2,0
47,712,1364,0.060474537,4,0
48,712,1682,0.060474537,4,0
49,712,1366,0.060763888,3,0
50,712,1042,0.06116898,4,0
51,712,1117,0.06116898,5,0
52,712,1635,0.06116898,5,0
53,712,1755,0.061180554,4,0
54,712,2163,0.061180554,5,0
55,712,1335,0.061180554,5,0
56,712,1004,0.06158565,3,0
57,712,1025,0.06158565,5,0
58,712,1158,0.06158565,3,0
59,712,1145,0.06158565,4,0
60,712,1375,0.061875,4,0
61,712,1138,0.06221065,3,0
62,712,1405,0.06221065,3,0
63,712,1012,0.06221065,3,0
64,712,1689,0.06221065,4,0
65,712,1719,0.06302083,4,0
66,712,1031,0.06302083,4,0
67,712,1998,0.06302083,4,0
68,712,1120,0.06302083,2,0
69,712,947,0.06329861,4,0
70,712,1728,0.06361111,5,0
71,712,1181,0.06361111,3,0
72,712,2412,0.06361111,4,0
73,712,1308,0.06393518,3,0
74,712,1362,0.06393518,3,0
75,712,1603,0.06393518,4,0
76,712,1528,0.06393518,4,0
77,712,2446,0.06394676,4,0
78,712,1503,0.06424768,3,0
79,712,1015,0.06424768,4,0
80,712,1171,0.06424768,3,0
81,712,1014,0.06424768,5,0
82,712,1016,0.06461806,5,0
83,712,1565,0.06461806,4,0
84,712,1153,0.06461806,5,0
85,712,1336,0.06493056,3,0
86,712,1605,0.06493056,5,0
87,712,1084,0.06493056,3,0
88,712,1527,0.06518518,4,0
89,712,1675,0.06550926,5,0
90,712,1892,0.06550926,4,0
91,712,1321,0.06550926,4,0
92,712,1659,0.06550926,5,0
93,712,1134,0.06581019,3,0
94,712,1139,0.06581019,4,0
95,712,1026,0.06581019,4,0
96,712,1002,0.06608796,2,0
97,712,1079,0.06635416,1,0
98,712,1173,0.06663194,3,0
99,712,1598,0.06663194,5,0
100,712,1347,0.06663194,3,0
101,712,1996,0.066898145,4,0
102,712,1511,0.06690972,5,0
103,712,1884,0.06690972,5,0
104,712,1672,0.06690972,5,0
105,712,1003,0.06724537,1,0
106,712,1449,0.06724537,3,0
107,712,1438,0.06724537,4,0
108,712,1889,0.06725694,4,0
109,712,1429,0.06725694,4,0
110,712,1690,0.06761574,3,0
111,712,1374,0.06761574,3,0
112,712,1038,0.06761574,4,0
113,712,1361,0.06762732,3,0
114,712,981,0.06762732,4,0
115,851,1054,0.49418983,3,0
116,851,1957,0.49418983,3,0
117,851,1788,0.49418983,3,0
118,851,1685,0.49547455,5,0
119,851,1758,0.49583334,3,0
120,851,1767,0.49583334,4,0
121,851,1348,0.49583334,5,0
122,119,1243,0.5737963,5,0
123,119,1229,0.5737963,5,0
124,119,1265,0.5756829,4,0
125,119,1266,0.5756829,4,0
126,119,1218,0.5771412,5,0
127,119,1809,0.5771412,3,0
128,119,1401,0.5771412,5,0
129,119,1043,0.5771412,5,0
130,119,993,0.57879627,5,0
131,119,1398,0.5788079,4,0
132,119,1684,0.579919,4,0
133,119,1178,0.5815509,5,0
134,119,1756,0.5815509,4,0
135,119,1661,0.5815509,5,0
136,119,1220,0.58197916,4,0
137,119,1241,0.5825,4,0
138,119,1180,0.5825,5,0
139,119,2029,0.58363426,4,0
140,119,1355,0.58363426,4,0
141,119,1225,0.58363426,5,0
142,119,1571,0.5842014,4,0
143,119,950,0.5842014,5,0
144,119,1219,0.5850926,2,0
145,119,1959,0.5850926,5,0
146,119,1036,0.5850926,4,0
147,119,1068,0.5850926,5,0
148,119,1165,0.58565974,5,0
149,119,1064,0.58565974,4,0
150,119,1772,0.58675927,5,0
151,119,1925,0.58675927,4,0
152,119,1766,0.58675927,3,0
153,119,1685,0.58675927,5,0
154,119,1124,0.58675927,4,0
155,119,1415,0.58675927,4,0
156,119,1705,0.5874421,4,0
157,119,1540,0.5874421,4,0
158,119,1230,0.5874421,4,0
159,119,1060,0.5882523,5,0
160,119,1867,0.5882523,4,0
161,119,1769,0.58877313,4,0
162,119,1418,0.58877313,4,0
163,119,1052,0.58877313,5,0
164,119,1217,0.58877313,4,0
165,119,1200,0.58916664,4,0
166,119,1416,0.5895486,3,0
167,119,2145,0.58993053,4,0
168,119,1193,0.59052086,2,0
169,119,1348,0.59149307,4,0
170,119,1770,0.59149307,3,0
171,119,1048,0.5918866,2,0
172,119,1198,0.5926389,3,0
173,119,1489,0.5926389,4,0
174,119,1873,0.59299767,3,0
175,119,1660,0.59299767,3,0
176,119,1977,0.5934028,3,0
177,119,1774,0.5934028,2,0
178,640,1733,0.6082176,4,0
179,640,954,0.6103009,4,0
180,640,955,0.6108912,5,0
181,640,1439,0.6108912,4,0
182,640,999,0.6113194,5,0
183,640,1325,0.6113194,4,0
184,640,1123,0.6113194,5,0
185,640,1113,0.611956,5,0
186,640,1077,0.612419,5,0
187,640,1417,0.612419,4,0
188,640,1713,0.6128241,4,0
189,640,1007,0.6133218,5,0
190,640,1118,0.6137153,5,0
191,640,990,0.6137153,4,0
192,640,1024,0.6137153,5,0
193,640,998,0.6140625,5,0
194,640,1404,0.6148495,4,0
